estimator n beta m p.cov n.cov p.length n.length
shorth 2195 1/2 47 0.9061 0.9718 0.360815 0.367997
shorth 2195 1/3 13 0.9295 0.9723 0.364349 0.373236
shorth 2195 3/4 321 0.8087 0.9574 0.327405 0.33459
shorth 2696 1/2 52 0.9106 0.9731 0.341666 0.348332
shorth 2696 1/3 14 0.9397 0.9782 0.352899 0.361705
shorth 2696 3/4 374 0.8085 0.9584 0.306684 0.313626
shorth 3313 1/2 58 0.9166 0.9736 0.318091 0.324072
shorth 3313 1/3 15 0.9353 0.9732 0.318618 0.326107
shorth 3313 3/4 437 0.8154 0.9576 0.285061 0.290992
shorth 4070 1/2 64 0.9151 0.9719 0.296341 0.301802
shorth 4070 1/3 16 0.9425 0.9764 0.307472 0.315253
shorth 4070 3/4 510 0.8109 0.9542 0.26703 0.272793
shorth 5000 1/2 71 0.9154 0.9697 0.273152 0.277982
shorth 5000 1/3 17 0.9388 0.9726 0.278251 0.284636
shorth 5000 3/4 595 0.813 0.9565 0.24863 0.253802
xicor 100 1/2 10 0.7895 0.9108 0.208427 0.213251
xicor 100 1/3 5 0.6435 0.8576 0.169566 0.181532
xicor 100 3/4 32 0.8332 0.906 0.207584 0.20932
xicor 123 1/2 11 0.8 0.9205 0.190954 0.194995
xicor 123 1/3 5 0.6501 0.862 0.152598 0.163845
xicor 123 3/4 37 0.8411 0.9121 0.189277 0.190823
xicor 151 1/2 12 0.808 0.9212 0.174842 0.178191
xicor 151 1/3 5 0.6478 0.8615 0.137576 0.148087
xicor 151 3/4 43 0.851 0.9142 0.17258 0.173842
xicor 186 1/2 14 0.8272 0.9256 0.160444 0.163026
xicor 186 1/3 6 0.7479 0.8852 0.143325 0.142668
xicor 186 3/4 50 0.8538 0.9162 0.157166 0.158265
xicor 228 1/2 15 0.8485 0.9324 0.14646 0.14858
xicor 228 1/3 6 0.7614 0.8877 0.129713 0.128988
xicor 228 3/4 59 0.8647 0.9231 0.142872 0.143809
xicor 280 1/2 17 0.8494 0.934 0.133455 0.13524
xicor 280 1/3 7 0.743 0.9007 0.117251 0.121459
xicor 280 3/4 68 0.8615 0.9223 0.129854 0.130674
xicor 344 1/2 19 0.8622 0.9393 0.121454 0.123027
xicor 344 1/3 7 0.7478 0.9057 0.105991 0.109698
xicor 344 3/4 80 0.8705 0.9302 0.117901 0.118596
xicor 423 1/2 21 0.8697 0.9381 0.110318 0.111567
xicor 423 1/3 8 0.7787 0.9116 0.100645 0.101902
xicor 423 3/4 93 0.8724 0.9279 0.106791 0.10746
xicor 520 1/2 23 0.8752 0.9373 0.100148 0.101257
xicor 520 1/3 8 0.7781 0.9105 0.09096 0.092021
xicor 520 3/4 109 0.8769 0.9282 0.096921 0.097491
xicor 638 1/2 25 0.8888 0.9411 0.090847 0.09176
xicor 638 1/3 9 0.7837 0.9218 0.08263 0.084867
xicor 638 3/4 127 0.8871 0.9315 0.087911 0.088378
xicor 784 1/2 28 0.8848 0.9391 0.082369 0.083189
xicor 784 1/3 9 0.7758 0.9165 0.074576 0.076621
xicor 784 3/4 148 0.8798 0.9273 0.07973 0.080145
xicor 963 1/2 31 0.8963 0.9424 0.07467 0.075353
xicor 963 1/3 10 0.8038 0.9247 0.06846 0.070279
xicor 963 3/4 173 0.8851 0.933 0.072207 0.072562
xicor 1184 1/2 34 0.8957 0.9416 0.067669 0.068238
xicor 1184 1/3 11 0.8189 0.9256 0.062796 0.064209
xicor 1184 3/4 202 0.888 0.9328 0.065417 0.065745
xicor 1454 1/2 38 0.9124 0.9461 0.061241 0.061736
xicor 1454 1/3 11 0.8272 0.9334 0.056675 0.057973
xicor 1454 3/4 235 0.8987 0.9389 0.059256 0.05954
xicor 1786 1/2 42 0.9051 0.9437 0.055384 0.055821
xicor 1786 1/3 12 0.8266 0.9292 0.051826 0.052825
xicor 1786 3/4 275 0.8909 0.9343 0.053603 0.053875
xicor 2195 1/2 47 0.9145 0.9478 0.050108 0.050469
xicor 2195 1/3 13 0.8423 0.935 0.047262 0.048041
xicor 2195 3/4 321 0.9001 0.9384 0.048523 0.048753
xicor 2696 1/2 52 0.918 0.9485 0.045295 0.045633
xicor 2696 1/3 14 0.8495 0.9364 0.042938 0.043643
xicor 2696 3/4 374 0.8999 0.9385 0.043935 0.044147
xicor 3313 1/2 58 0.915 0.9458 0.040971 0.04124
xicor 3313 1/3 15 0.8608 0.9365 0.03903 0.039604
xicor 3313 3/4 437 0.8996 0.9387 0.039758 0.039941
xicor 4070 1/2 64 0.9231 0.9501 0.037044 0.037277
xicor 4070 1/3 16 0.8697 0.941 0.035399 0.035912
xicor 4070 3/4 510 0.9027 0.9423 0.035915 0.03609
xicor 5000 1/2 71 0.9258 0.9463 0.033461 0.033676
xicor 5000 1/3 17 0.8795 0.9393 0.03209 0.032532
xicor 5000 3/4 595 0.9059 0.9396 0.032511 0.032652
